An	Durata	Vizionari	 nr_viz  Titlu	Categorie	Premii					
1987	90	4500	"Good Father, The"	Drama	Nu					
1988	90	2500	Dark Age	Action	Nu					
1993	90	5000	Duel	Mystery	Nu					
1989	90	5500	"Van, The"	Comedy	Nu					
1989	90	2500	"Branford Marsalis, Steep"	Music	Nu					
1989	90	6000	Beartooth	Action	Nu					
1979	90	6000	James Taylor in Concert	Music	Nu					
1957	91	5500	Wild Strawberries	Drama	Da					
1962	91	3500	Through a Glass Darkly	Drama	Da					
1972	91	2500	Cries & Whispers	Drama	Da					
1959	91	1500	Killers of Kilimanjaro	Action	Nu					
1937	91	3000	Intermezzo	Drama	Nu					
1987	91	4000	Programmed to Kill	Action	Nu					
1991	91	4500	Raw Nerve	Mystery	Nu					
1987	91	5500	Firehouse	Comedy	Nu					
1987	91	1500	"Quick & The Dead, The"	Western	Nu					
1977	91	6000	Rabid	Horror	Nu					
1989	91	5500	Penn & Teller Get Killed	Comedy	Nu					
1980	91	1500	It's My Turn	Comedy	Nu					
1962	91	2000	Road to Hong Kong	Comedy	Nu					
1945	91	5000	Flame of Barbary Coast	Western	Nu					
1931	91	4000	Mata Hari	Drama	Nu					
1975	91	3000	Adventures of Sherlock Holmes' Smarter	Comedy	Nu					
1983	91	2000	"Outsiders, The"	Drama	Nu					
1977	91	2000	Angela	Drama	Nu					
1981	91	2000	So Fine	Comedy	Nu					
1988	91	3500	In a Shallow Grave	Drama	Nu					
1970	91	4500	"Man Who Haunted Himself, The"	Drama	Nu					
1987	91	3500	Young Love: Lemon Popsicle Seven	Comedy	Nu					
1988	91	4500	Track Twenty-Nine	Drama	Nu					
1987	91	4000	Big Shots	Action	Nu					
1983	91	4500	All the Right Moves	Drama	Nu					
1986	91	5500	Mr Love.	Comedy	Nu					
1970	91	1500	Start the Revolution Without Me	Comedy	Nu					
1989	91	6000	Young Einstein	Comedy	Nu					
1954	91	3000	Apache	Western	Nu					
1989	91	1500	Too Beautiful for You	Drama	Nu					
1986	91	1000	Wise Guys	Comedy	Nu					
1987	91	3500	Penitentiary III	Action	Nu					
1973	91	2500	Executive Action	Drama	Nu					
1986	91	3000	"La Chevre, (The Goat)"	Drama	Nu					
1983	91	1500	Strange Brew	Comedy	Nu					
1953	91	1000	"Mummy's Revenge, The"	Horror	Nu					
1991	91	6000	Out for Justice	Action	Nu					
1960	91	5000	Never Let Go	Action	Nu					
1932	92	6000	Rich & Strange	Drama	Nu					
1982	92	3500	Fast Times at Ridgemont High	Comedy	Nu					
1993	92	4000	"Naked Truth, The"	Comedy	Nu					
1979	92	5000	"Brood, The"	Horror	Nu					
1972	92	6000	Napoleon & Samantha	Comedy	Nu					
1987	92	3500	Back to the Beach	Comedy	Nu					
1930	92	1500	Anna Christie	Drama	Nu					
1953	92	5000	Two Nights with Cleo	Drama	Nu					
1955	92	2000	Il Bidone	Drama	Nu					
1990	92	1000	After the Shock	Drama	Nu					
1982	92	2500	48 Hrs.	Action	Nu					
1980	92	4000	Rodeo Girl	Drama	Nu					
1980	92	2500	"Final Countdown, The"	Action	Nu					
1988	92	6000	Permanent Record	Drama	Nu					
1972	92	5000	Fuzz	Action	Nu					
1990	92	4000	"Sun Shines Bright, The"	Action	Nu					
1990	92	6000	"Witches, The"	Science Fiction	Nu					
1988	92	2500	Bloodsport	Action	Nu					
1953	92	5500	His Majesty O'Keefe	Action	Nu					
1976	92	5000	Street People	Action	Nu					
1984	92	1500	Crackers	Action	Nu					
1982	92	5500	An Evening with Robin Williams	Comedy	Nu					
1988	92	3000	A Month in the Country	Drama	Nu					
1988	92	2000	Judgement in Berlin	Drama	Nu					
1985	92	5500	What Comes Around	Drama	Nu					
1972	92	4000	"Culpepper Cattle Company, The"	Western	Nu					
1982	92	3000	Alone in the Dark	Horror	Nu					
1992	92	5500	"Dead Pool, The"	Action	Nu					
1990	92	2500	Primal Rage	Mystery	Nu					
1958	92	1000	Tom Thumb	Science Fiction	Nu					
1991	92	2000	"Spencer Tracy Legacy, The"	Comedy	Nu					
1946	93	4500	Crisis	Drama	Nu					
1988	93	1500	"Lair of the White Worm, The"	Horror	Nu					
1990	93	4000	"Court-Martial of Jackie Robinson, The"	Drama	Nu					
1949	93	3500	She Wore a Yellow Ribbon	Western	Nu					
1987	93	4500	Hot Pursuit	Drama	Nu					
1984	93	3500	Reckless	Drama	Nu					
1983	93	1500	Tender Mercies	Drama	Da					
1987	93	1000	Bodycount	Action	Nu					
1990	93	4500	A Show of Force	Drama	Nu					
1989	93	5500	Streets of Fire	Action	Nu					
1986	93	6000	"Golden Child, The"	Comedy	Nu					
1950	93	5000	To Joy	Drama	Nu					
1946	93	2500	Crack-Up	Mystery	Nu					
1989	93	2500	Seizure	Horror	Nu					
